Folder,File 1,File 2,Global Similarity (%),Hybrid Similarity (%),Global (Hybrid),Local(Hybrid)
120,songs\120\The-Last-Time.mid,songs\120\Verve - Bitter Sweet Symphony.mid,26.95,52.24,26.95,77.54
125,songs\125\AnybodySeenMyBaby.mid,songs\125\Constantcraving.mid,5.01,49.04,5.01,93.08
127,songs\127\AllYouNeedIsLove.mid,songs\127\IntheMood.mid,12.85,53.95,12.85,95.05
13,songs\13\THE GAP BAND.Oops up dide your head.mid,songs\13\UptownFunkft.BrunoMars.mid,6.58,34.74,6.58,62.9
28,songs\28\Greatest-Love-Of-All-1.mid,songs\28\IfYouCouldReadMyMind.mid,21.1,57.16,21.1,93.23
29,songs\29\Chuck Berry - Sweet Little Sixteen.mid,songs\29\SurfinUSA.mid,18.62,56.16,18.62,93.7
32,songs\32\StayWithMe.mid,songs\32\T.PETTY.I wont back down.mid,7.76,48.32,7.76,88.89
39,songs\39\NoScrubs.mid,songs\39\ShapeofYou.mid,8.39,50.25,8.39,92.12
4,songs\4\Calvin Harris - I'm Not Alone.mid,songs\4\Chris Brown - Yeah x3 - Main Lead.mid,3.61,1.81,3.61,0
40,songs\40\I'd-Like-To-Teach-The-World-To-Sing-1.mid,songs\40\Oasis - Shakermaker.mid,12.9,51.18,12.9,89.46
80,songs\80\UnderPressure.mid,songs\80\Vanilla Ice - Ice Ice Baby.mid,2.78,18.06,2.78,33.33
81,songs\81\EverybreathyouTake.mid,songs\81\I'll-Be-Missing-You.mid,23.01,58.18,23.01,93.35
87,songs\87\AllDayAndAllOfTheNight.mid,songs\87\THE DOORS.Hello I love you K.mid,12.74,53.34,12.74,93.94
92,songs\92\Ghostbusters.mid,songs\92\IWantANewDrug.mid,9.91,47.45,9.91,85
96,songs\96\Flowers.mid,songs\96\WhenIWasYourMan.mid,36.1,62.77,36.1,89.43
